company_name,evidence_query,evidence_year,new_region,document_id,evidence_score_for_this_evidence_item
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-972-AES_watertowndailytimes_NYClimatePlan_14.5.22_may2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-021-AES_virginia_registration_06.22_july2022.pdf,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-021-AES_Q12022_earningscall_6.5.22_july2022.pdf,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-982-AES_Axios_interview_10.6.22_june2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-029-AES_twitter_IRA_12.8.22_aug2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-021-AES_Ohiolobbying_activityreport_24.5.22_july2022.pdf,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-068-AES_Q32022_LDAreport_20.10.22_oct2022.pdf,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-933-AES_utilitydive_coal_7.2.22_feb2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-022-AES_agriculturalassessment_03.22.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-909-AES_website_newyork_jan2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-909-AES_website_california_jan2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-909-AES_website_hawaii_jan2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-022-classof85_EPA_comments_6.6.22_aug2022.pdf,-1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-985-AES_nytimes_CEOnuclear_15.6.22_june2022.pdf,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-972-AES_axios_CEOinterview_13.5.22_may2022.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-962-Utilities_CEQ_CCScomments_18.4.22_apr2022.pdf,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,global,-001-122-AES_IBJ_CEOinterview_28.10.22_feb2023.pdf,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,global,-001-122-AES_IBJ_CEOinterview_28.10.22_feb2023.pdf,2
