company_name,evidence_query,evidence_year,new_region,document_id,evidence_score
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,1
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,2
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,south_america,#NAME?,0
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,north_america,#NAME?,0
Cummins,Communication of Climate Science,2022,united_states,#NAME?,1
Cummins,Communication of Climate Science,2022,united_states,#NAME?,1
Cummins,Communication of Climate Science,2022,global,#NAME?,1
Cummins,Communication of Climate Science,2022,global,#NAME?,1
Cummins,Communication of Climate Science,2022,global,#NAME?,1
Cummins,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-2
Cummins,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
Cummins,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
Cummins,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
Cummins,Energy Transition & Zero Carbon Technologies,2022,eu,-000-984-Joint-Letter_RefuelEU-Maritime_06-2022.pdf,2
Cummins,Energy Transition & Zero Carbon Technologies,2022,eu,-000-964-2022.04.27_AFIR_Industry_Letter.pdf,2
Cummins,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,-1
Cummins,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,1
Cummins,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,0
Cummins,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,1
Cummins,Supporting the Need for Regulations,2022,united_states,-000-938-Autos_Hill_Build-Back-Better_02-2022.pdf,2
Cummins,Supporting the Need for Regulations,2022,united_states,-001-016-C2ES_ad_reconciliation_12.7.22_july2022.pdf,2
Cummins,Supporting the Need for Regulations,2022,united_states,-000-935-C2ES_letter_BBB_9.2.22_feb2022.pdf,2
Cummins,Supporting the Need for Regulations,2022,united_states,#NAME?,1
Cummins,Supporting the Need for Regulations,2022,global,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,-001-045-Biden_Adviser's_Lobbying_Firm_Is_Undermining_Democratic_Party_Priorities.pdf,-2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,-000-904-Federal_backing_'super_important'_to_US_climate_goals_–_National_Grid_president___S&P_Global_Market_Intelligence_Jan2022.pdf,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,2
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_states,#NAME?,0
National Grid,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,global,#NAME?,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_kingdom,#NAME?,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_kingdom,-000-947-National_Grid_UK_net_zero_by_2035_is_'achievable'_-_reNews_-_Renewable_Energy_News_March2022.pdf,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_kingdom,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_kingdom,#NAME?,-1
National Grid,Energy Transition & Zero Carbon Technologies,2022,united_kingdom,#NAME?,1
National Grid,Energy Transition & Zero Carbon Technologies,2022,eu,#NAME?,-1
AES Corporation,Renewable Energy,2022,united_states,#NAME?,1
AES Corporation,Renewable Energy,2022,united_states,#NAME?,0
AES Corporation,Renewable Energy,2022,united_states,#NAME?,2
